cidade;cidade_insuficiente;motivo;ano_inicio;ano_fim;n_total;n_treino;n_teste;n_features;prevalencia_total;prevalencia_teste;confiabilidade;scoring_valid;best_valid_score;best_params_json;score_valid;score_teste;alpha_recall;threshold;tp;tn;fp;fn;accuracy;precision;recall;f1;roc_auc;pr_auc
AliceSprings;False;;2008;2016;2224;1779;445;106;0.08408273381294964;0.07415730337078652;media;recall_accuracy;0.780342681086519;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.780342681086519;0.7923050732039496;0.5;0.55;23;372;40;10;0.8876404494382022;0.36507936507936506;0.696969696969697;0.4791666666666667;0.9391732862606649;0.6149662793973353
Brisbane;False;;2008;2017;2979;2383;596;106;0.21651560926485397;0.20134228187919462;media;recall_accuracy;0.7699624585105491;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7699624585105491;0.7917225950782998;0.5;0.4;98;359;117;22;0.7667785234899329;0.4558139534883721;0.8166666666666667;0.5850746268656717;0.8828256302521008;0.7054346366179846
Cairns;False;;2008;2016;2444;1955;489;105;0.30728314238952537;0.310838445807771;media;recall_accuracy;0.7542292303070245;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7542292303070245;0.7803923151436875;0.5;0.35;130;215;122;22;0.7055214723926381;0.5158730158730159;0.8552631578947368;0.6435643564356436;0.8659222239575198;0.7800364246093078
Canberra;False;;2007;2012;1092;873;219;106;0.20238095238095238;0.2694063926940639;media;recall_accuracy;0.7884459555936317;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7884459555936317;0.7293940097515672;0.5;0.55;40;131;29;19;0.7808219178082192;0.5797101449275363;0.6779661016949152;0.625;0.8220338983050848;0.6939755980674893
Cobar;False;;2009;2010;534;427;107;106;0.11797752808988764;0.1588785046728972;baixa;recall_accuracy;0.8538443174472587;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.8538443174472587;0.7133040131940627;0.5;0.65;9;87;3;8;0.897196261682243;0.75;0.5294117647058824;0.6206896551724138;0.8882352941176471;0.6866541598861353
CoffsHarbour;False;;2009;2014;1383;1106;277;106;0.31308749096167754;0.2563176895306859;media;recall_accuracy;0.7715897926778023;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7715897926778023;0.7772156404128743;0.5;0.4;55;161;45;16;0.779783393501805;0.55;0.7746478873239436;0.6432748538011696;0.8774784630110761;0.7263813194308001
Darwin;False;;2008;2017;3063;2450;613;106;0.257590597453477;0.27895595432300163;media;recall_accuracy;0.825549924899395;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.825549924899395;0.8512587886246339;0.5;0.4;155;333;109;16;0.7960848287112561;0.5871212121212122;0.9064327485380117;0.7126436781609196;0.9038130771876902;0.7930163475893226
Hobart;False;;2008;2017;1944;1555;389;106;0.2417695473251029;0.2493573264781491;media;recall_accuracy;0.7305604108023162;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7305604108023162;0.7529218455993427;0.5;0.4;75;210;82;22;0.7326478149100257;0.47770700636942676;0.7731958762886598;0.5905511811023622;0.8314150543708516;0.6565347828926859
Melbourne;False;;2008;2017;4832;3865;967;106;0.2297185430463576;0.24095139607032057;alta;recall_accuracy;0.7416858484182676;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7416858484182676;0.7829577783596895;0.5;0.4;188;546;188;45;0.7590486039296794;0.5;0.8068669527896996;0.6174055829228243;0.8530247570488008;0.6912488005773911
Mildura;False;;2009;2017;2595;2076;519;106;0.11136801541425818;0.10789980732177264;media;recall_accuracy;0.8152293238889624;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.8152293238889624;0.8164911918524635;0.5;0.55;43;406;57;13;0.8651252408477842;0.43;0.7678571428571429;0.5512820512820513;0.9167695155816107;0.6346272805268447
Moree;False;;2009;2016;1915;1532;383;106;0.13472584856396866;0.1122715404699739;media;recall_accuracy;0.8137551350216157;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.8137551350216157;0.844434999089198;0.5;0.5;34;310;30;9;0.8981723237597912;0.53125;0.7906976744186046;0.6355140186915887;0.9470588235294118;0.6543795184567249
MountGambier;False;;2008;2016;2465;1972;493;106;0.2969574036511156;0.23123732251521298;media;recall_accuracy;0.7884763687105751;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7884763687105751;0.8115191630191096;0.5;0.35;96;289;90;18;0.7809330628803245;0.5161290322580645;0.8421052631578947;0.64;0.8908253483312503;0.8053619931661762
Nuriootpa;False;;2009;2016;2017;1613;404;106;0.19533961328705998;0.18564356435643564;media;recall_accuracy;0.7879777559318744;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7879777559318744;0.8558415841584158;0.5;0.35;66;270;59;9;0.8316831683168316;0.528;0.88;0.66;0.9170820668693009;0.7290073423023301
Perth;False;;2008;2017;5943;4754;1189;106;0.19687026754164563;0.19259882253994953;alta;recall_accuracy;0.8517132180550051;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.8517132180550051;0.8304196767310241;0.5;0.4;186;823;137;43;0.8486122792262405;0.5758513931888545;0.8122270742358079;0.6739130434782609;0.9213518922852985;0.7819491611126319
Portland;False;;2009;2016;1911;1528;383;106;0.4013605442176871;0.37597911227154046;media;recall_accuracy;0.7585520317500045;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7585520317500045;0.8378390629532927;0.5;0.4;127;177;62;17;0.793733681462141;0.671957671957672;0.8819444444444444;0.7627627627627628;0.9109425848442586;0.876120356339643
Sale;False;;2009;2014;1680;1344;336;106;0.21428571428571427;0.22916666666666666;media;recall_accuracy;0.6822292087347446;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.6822292087347446;0.8039772727272727;0.5;0.4;64;197;62;13;0.7767857142857143;0.5079365079365079;0.8311688311688312;0.6305418719211823;0.8650654364940079;0.6616203095639556
Sydney;False;;2009;2017;4566;3652;914;106;0.24791940429259746;0.24288840262582057;alta;recall_accuracy;0.7400413988597673;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7400413988597673;0.7998896051412463;0.5;0.45;181;536;156;41;0.7844638949671773;0.5370919881305638;0.8153153153153153;0.6475849731663685;0.8732554809144404;0.7234579089174387
Townsville;False;;2008;2016;2419;1935;484;106;0.1628772219925589;0.14669421487603307;media;recall_accuracy;0.7885164996646128;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7885164996646128;0.75190606448609;0.5;0.4;50;337;76;21;0.7995867768595041;0.3968253968253968;0.704225352112676;0.5076142131979695;0.8675442485421001;0.5836859564312673
WaggaWagga;False;;2009;2016;2416;1932;484;106;0.1767384105960265;0.16735537190082644;media;recall_accuracy;0.8172115257255754;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.8172115257255754;0.8660595857565554;0.5;0.55;67;371;32;14;0.9049586776859504;0.6767676767676768;0.8271604938271605;0.7444444444444445;0.9286523910179825;0.7973428707357704
Woomera;False;;2009;2017;1737;1389;348;106;0.07426597582037997;0.0603448275862069;media;recall_accuracy;0.7131856093613842;"{""subsample"": 0.9, ""reg_lambda"": 2.0, ""n_estimators"": 600, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 2.0, ""colsample_bytree"": 1.0}";0.7131856093613842;0.8349753694581281;0.5;0.55;16;300;27;5;0.9080459770114943;0.37209302325581395;0.7619047619047619;0.5;0.944662880442697;0.678197254561441
